language,split,n,system,accuracy_mean,accuracy_sd,levenshtein_mean,acc_seen_bundle,acc_unseen_bundle,lemma_copy_share_of_errors,test_items_pooled,lemma_overlap_pct,unseen_bundle_pct
tur,random,50,baseline,15.7,2.5,4.57,33.5,1.2,67.7,2500,14.4,55.1
tur,random,50,memory,15.7,2.5,4.57,33.5,1.2,67.7,2500,14.4,55.1
tur,random,50,morph,15.4,1.3,3.66,33.5,0.7,3.8,2500,14.4,55.1
tur,random,100,baseline,21,2.4,4.01,33.6,1.6,52.3,2500,27.1,39.5
tur,random,100,memory,21,2.4,4.01,33.6,1.6,52.3,2500,27.1,39.5
tur,random,100,morph,22.2,1.9,3.14,34.1,4,3,2500,27.1,39.5
tur,random,250,baseline,28.5,1.4,3.35,37.1,2.6,37,2500,55,25
tur,random,250,memory,29.4,1.3,3.33,38.3,2.6,37.5,2500,55,25
tur,random,250,morph,29.7,1.6,2.63,37.4,6.4,1.3,2500,55,25
tur,random,500,baseline,34.2,2.5,2.98,42.3,0,31.2,2500,79.6,19.2
tur,random,500,memory,36.6,3.2,2.91,45.3,0,32.1,2500,79.6,19.2
tur,random,500,morph,34.6,2.3,2.32,42.4,1.9,0.8,2500,79.6,19.2
tur,random,1000,baseline,42,2.7,2.63,49.7,0,28.5,2500,96.9,15.6
tur,random,1000,memory,48.1,2.6,2.44,57,0,31.9,2500,96.9,15.6
tur,random,1000,morph,42.3,2.6,1.91,49.8,1.8,0.1,2500,96.9,15.6
tur,lemma-disjoint,50,baseline,16,2.6,4.55,32.2,1.6,65.4,2500,0,52.8
tur,lemma-disjoint,50,memory,16,2.6,4.55,32.2,1.6,65.4,2500,0,52.8
tur,lemma-disjoint,50,morph,15.9,3.8,3.65,32.3,1.3,8.3,2500,0,52.8
tur,lemma-disjoint,100,baseline,22.4,3.1,3.9,34.7,0.4,48.7,2500,0,35.8
tur,lemma-disjoint,100,memory,22.4,3.1,3.9,34.7,0.4,48.7,2500,0,35.8
tur,lemma-disjoint,100,morph,22.9,2.9,3.14,34.8,1.7,2.8,2500,0,35.8
